No	TMNo	EnNo	Name	INOUT	Mode	DateTime
1	1	1		0	0	2017/11/22 14:17:21
2	1	1		0	0	2017/11/22 14:17:21
3	1	8080		0	0	2017/12/29 11:54:33
4	1	8080		0	0	2017/12/29 11:54:35
5	1	8080		0	0	2017/12/29 11:54:41
6	1	8080		0	0	2017/12/29 11:54:41
7	1	9090		0	0	2017/12/29 11:55:43
8	1	9090		0	0	2017/12/29 11:55:43
9	1	8080		0	0	2017/12/29 11:55:52
10	1	8080		0	0	2017/12/29 11:55:52
11	1	8080		0	0	2017/12/29 11:56:46
12	1	8080		0	0	2017/12/29 11:56:46
13	1	8080		0	0	2017/12/29 11:56:48
14	1	1234		0	0	2017/12/29 11:58:26
15	1	8080		0	0	2017/12/29 11:58:31
16	1	8080		0	0	2017/12/29 11:58:31
17	1	8080		0	0	2017/12/29 13:22:02
18	1	8080		0	0	2017/12/29 13:22:02
19	1	8080		0	0	2017/12/29 13:23:28
20	1	8080		0	0	2017/12/29 13:31:26
21	1	4321		0	0	2017/12/29 13:32:40
22	1	8080		0	0	2017/12/29 17:02:54
23	1	8080		0	0	2017/12/29 17:02:54
24	1	8080		0	0	2017/12/29 17:02:59
25	1	1		0	0	2017/12/29 17:24:22
26	1	2		0	0	2017/12/29 17:25:39
27	1	2		0	0	2017/12/29 17:25:39
28	1	9		0	0	2017/12/29 17:26:29
29	1	9		0	0	2017/12/29 17:26:30
30	1	9		0	0	2017/12/29 17:26:32
31	1	13		0	0	2017/12/29 17:27:03
32	1	13		0	0	2017/12/29 17:27:03
33	1	15		0	0	2017/12/29 17:28:00
34	1	14		0	0	2017/12/29 17:28:52
35	1	8		0	0	2017/12/29 17:29:38
36	1	8		0	0	2017/12/29 17:29:38
37	1	3		0	0	2017/12/29 17:30:24
38	1	3		0	0	2017/12/29 17:30:24
39	1	12		0	0	2017/12/29 17:31:51
40	1	7		0	0	2017/12/29 17:32:44
41	1	16		0	0	2017/12/29 17:34:19
42	1	16		0	0	2017/12/29 17:34:19
43	1	22		0	0	2017/12/29 17:35:28
44	1	16		0	0	2017/12/29 17:36:24
45	1	9		0	0	2017/12/29 17:36:35
46	1	9		0	0	2017/12/29 17:36:39
47	1	9		0	0	2017/12/29 17:36:45
48	1	9		0	0	2017/12/29 17:36:46
49	1	9		0	0	2017/12/29 17:36:46
50	1	9		0	0	2017/12/29 17:37:00
51	1	1		0	0	2017/12/29 17:37:02
52	1	9		0	0	2017/12/29 17:37:16
53	1	9		0	0	2017/12/29 17:37:19
54	1	9		0	0	2017/12/29 17:37:19
55	1	9		0	0	2017/12/29 17:37:21
56	1	9		0	0	2017/12/29 17:37:21
57	1	9		0	0	2017/12/29 17:37:23
58	1	9		0	0	2017/12/29 17:37:44
59	1	12		0	5	2017/12/29 17:37:53
60	1	12		0	6	2017/12/29 17:38:05
61	1	9		0	6	2017/12/29 17:38:31
62	1	9		0	6	2017/12/29 17:38:31
63	1	9		0	6	2017/12/29 17:38:32
64	1	9		0	6	2017/12/29 17:38:32
65	1	9		0	6	2017/12/29 17:38:34
66	1	9		0	6	2017/12/29 17:38:34
67	1	9		0	6	2017/12/29 17:38:36
68	1	9		0	6	2017/12/29 17:38:36
69	1	9		0	6	2017/12/29 17:38:38
70	1	9		0	6	2017/12/29 17:38:46
71	1	9		0	6	2017/12/29 17:38:46
72	1	9		0	6	2017/12/29 17:38:49
73	1	9		0	6	2017/12/29 17:38:49
74	1	17		0	6	2017/12/29 17:39:19
75	1	21		0	6	2017/12/29 17:39:57
76	1	13		0	6	2017/12/29 17:42:38
77	1	5		0	6	2017/12/29 17:42:41
78	1	5		0	6	2017/12/29 17:42:41
79	1	9		0	6	2017/12/29 17:42:43
80	1	1		0	6	2017/12/29 17:42:47
81	1	13		0	6	2017/12/29 17:45:05
82	1	8		0	6	2017/12/29 18:00:13
83	1	21		0	6	2017/12/29 18:00:29
84	1	16		0	6	2017/12/29 18:00:36
85	1	17		0	6	2017/12/29 18:00:42
86	1	12		0	6	2017/12/29 18:03:43
87	1	2		0	6	2017/12/29 18:04:09
88	1	2		0	6	2017/12/29 18:04:09
89	1	5		0	6	2017/12/29 18:05:13
90	1	5		0	6	2017/12/29 18:05:13
91	1	13		0	6	2017/12/29 18:09:47
92	1	13		0	6	2017/12/29 18:09:47
93	1	3		0	6	2017/12/29 18:09:52
94	1	1		0	6	2017/12/29 18:10:01
95	1	7		0	6	2017/12/29 18:13:27
96	1	7		0	6	2017/12/29 18:13:27
97	1	9		0	6	2017/12/29 18:26:16
98	1	9		0	6	2017/12/29 18:26:16
99	1	9		0	6	2017/12/29 18:26:19
100	1	2		0	6	2017/12/29 18:41:06
101	1	2		0	6	2017/12/29 18:41:06
102	1	2		0	6	2017/12/29 18:41:08
103	1	2		0	6	2017/12/29 18:41:12
104	1	2		0	6	2017/12/29 18:41:13
105	1	2		0	6	2017/12/29 18:41:15
106	1	2		0	6	2017/12/29 18:41:16
107	1	2		0	6	2017/12/29 18:41:18
108	1	2		0	6	2017/12/29 18:41:20
109	1	2		0	6	2017/12/29 18:41:21
110	1	2		0	6	2017/12/29 18:41:23
111	1	2		0	6	2017/12/29 18:41:25
112	1	2		0	6	2017/12/29 18:41:26
113	1	2		0	6	2017/12/29 18:41:28
114	1	2		0	6	2017/12/29 18:41:29
115	1	2		0	6	2017/12/29 18:41:31
116	1	2		0	6	2017/12/29 18:42:59
117	1	2		0	6	2017/12/29 18:42:59
118	1	14		0	6	2017/12/29 20:11:14
119	1	9		0	5	2018/01/02 08:46:08
120	1	9		0	5	2018/01/02 08:46:08
121	1	1		0	5	2018/01/02 08:50:46
122	1	1		0	5	2018/01/02 08:50:46
123	1	4		0	5	2018/01/02 08:52:25
124	1	10		0	5	2018/01/02 08:53:03
125	1	10		0	5	2018/01/02 08:53:03
126	1	14		0	5	2018/01/02 08:53:07
127	1	5		0	5	2018/01/02 08:53:07
128	1	5		0	5	2018/01/02 08:53:14
129	1	5		0	5	2018/01/02 08:53:14
130	1	13		0	5	2018/01/02 08:53:19
131	1	13		0	5	2018/01/02 08:53:19
132	1	14		0	5	2018/01/02 08:53:29
133	1	21		0	5	2018/01/02 08:58:46
134	1	17		0	5	2018/01/02 08:59:55
135	1	8		0	5	2018/01/02 09:02:40
136	1	8		0	5	2018/01/02 09:02:40
137	1	8		0	5	2018/01/02 09:02:44
138	1	11		0	5	2018/01/02 09:07:20
139	1	6		0	5	2018/01/02 09:07:55
140	1	7		0	5	2018/01/02 09:08:02
141	1	7		0	5	2018/01/02 09:08:02
142	1	7		0	5	2018/01/02 09:08:07
143	1	7		0	5	2018/01/02 09:08:14
144	1	7		0	5	2018/01/02 09:10:31
145	1	2		0	5	2018/01/02 09:16:16
146	1	2		0	5	2018/01/02 09:16:16
147	1	12		0	5	2018/01/02 09:20:19
148	1	16		0	5	2018/01/02 09:20:22
149	1	3		0	5	2018/01/02 09:41:30
150	1	2		0	5	2018/01/02 11:23:00
151	1	15		0	5	2018/01/02 11:57:00
152	1	5		0	5	2018/01/02 11:59:47
153	1	5		0	6	2018/01/02 11:59:58
154	1	1		0	6	2018/01/02 12:00:05
155	1	12		0	6	2018/01/02 12:00:08
156	1	13		0	6	2018/01/02 12:00:12
157	1	13		0	6	2018/01/02 12:00:12
158	1	21		0	6	2018/01/02 12:00:25
159	1	16		0	6	2018/01/02 12:00:29
160	1	17		0	6	2018/01/02 12:00:35
161	1	2		0	6	2018/01/02 12:00:42
162	1	3		0	6	2018/01/02 12:00:55
163	1	15		0	6	2018/01/02 12:01:02
164	1	7		0	6	2018/01/02 12:01:07
165	1	7		0	6	2018/01/02 12:01:07
166	1	14		0	6	2018/01/02 12:01:13
167	1	9		0	6	2018/01/02 12:05:43
168	1	8		0	6	2018/01/02 12:06:49
169	1	11		0	6	2018/01/02 12:06:54
170	1	4		0	6	2018/01/02 12:10:05
171	1	10		0	6	2018/01/02 12:10:11
172	1	7		0	5	2018/01/02 12:33:03
173	1	7		0	5	2018/01/02 12:33:03
174	1	14		0	5	2018/01/02 12:33:13
175	1	3		0	5	2018/01/02 12:33:19
176	1	12		0	5	2018/01/02 12:33:27
177	1	15		0	5	2018/01/02 12:33:41
178	1	11		0	5	2018/01/02 12:34:50
179	1	1		0	5	2018/01/02 12:39:46
180	1	9		0	5	2018/01/02 12:42:15
181	1	4		0	5	2018/01/02 12:43:04
182	1	8		0	5	2018/01/02 12:43:18
183	1	17		0	5	2018/01/02 12:50:02
184	1	17		0	5	2018/01/02 12:50:02
185	1	21		0	5	2018/01/02 12:50:08
